Dataset,Experiment,MAPE (%),RMSE (%),R²
NCM+NCA,5,0.41923183016479015,0.42061880230903625,0.997913658618927
NCM+NCA,6,0.48468196764588356,0.4710600711405277,0.9973832368850708
NCM+NCA,7,0.49512702971696854,0.4931661766022444,0.997131884098053
NCM+NCA,8,0.6324919406324625,0.6092919036746025,0.9956221580505371
NCM+NCA,9,0.47794138081371784,0.4901336506009102,0.9971670508384705
NCM+NCA,10,0.5618804134428501,0.5584560334682465,0.9963222146034241
NCM+NCA,Mean,0.4956385353580117,0.4972037859261036,0.9970392107963562
NCM+NCA,Std,0.07240910219940212,0.06212818145904602,0.0007444172968693967
NCM+LCO,1,2.1081484854221344,2.0207181572914124,0.986115038394928
NCM+LCO,2,2.07707192748785,1.914997585117817,0.9875299334526062
NCM+LCO,3,2.180766686797142,1.9855301827192307,0.9865944385528564
NCM+LCO,4,2.0195676013827324,1.9565783441066742,0.986982524394989
NCM+LCO,5,1.6974348574876785,1.6762595623731613,0.9904453158378601
NCM+LCO,6,1.9437028095126152,1.7525134608149529,0.9895562529563904
NCM+LCO,7,1.961803250014782,1.896190270781517,0.9877736568450928
NCM+LCO,8,1.9743714481592178,1.9262658432126045,0.9873827695846558
NCM+LCO,9,2.0993901416659355,1.8522145226597786,0.9883341789245605
NCM+LCO,10,1.8196670338511467,1.850256696343422,0.9883588552474976
NCM+LCO,Mean,1.9881924241781237,1.8831524625420573,0.9879072964191437
NCM+LCO,Std,0.13730648453622699,0.09987504512288994,0.0012559105431465634
NA-ion,1,0.19310013158246875,0.2138271927833557,0.9894862174987793
NA-ion,2,0.159130129031837,0.17992359353229403,0.9925559759140015
NA-ion,3,0.17269471427425742,0.18013441003859043,0.9925385117530823
NA-ion,4,0.19030445255339146,0.22367120254784822,0.9884958863258362
NA-ion,5,0.1469193957746029,0.16918379114940763,0.9934180974960327
NA-ion,6,0.1933773630298674,0.21933959797024727,0.9889371991157532
NA-ion,7,0.1793472096323967,0.20481275860220194,0.9903540015220642
NA-ion,8,0.23469438310712576,0.28280962724238634,0.9816083312034607
NA-ion,9,0.2030643867328763,0.2359979785978794,0.9871929883956909
NA-ion,10,0.25598499923944473,0.25902295019477606,0.9845720529556274
NA-ion,Mean,0.19286171649582684,0.21687231026589873,0.9889159262180328
NA-ion,Std,0.03111807245402703,0.0341852178787876,0.003527768519800989
Stanford (NCM),1,1.1099182069301605,1.1821117252111435,0.9416378736495972
Stanford (NCM),2,0.8323582820594311,0.9465180337429047,0.9625827074050903
Stanford (NCM),3,0.9596539661288261,1.0524281300604343,0.9537407159805298
Stanford (NCM),4,0.5750292912125587,0.6620232481509447,0.9816953539848328
Stanford (NCM),5,0.9578043594956398,1.03439474478364,0.9553124308586121
Stanford (NCM),6,0.811601709574461,0.8919991552829742,0.9667690396308899
Stanford (NCM),7,0.7644348312169313,0.8316527120769024,0.9711132645606995
Stanford (NCM),8,0.8070962503552437,0.8635404519736767,0.968855619430542
Stanford (NCM),9,0.7358470931649208,0.8208334445953369,0.9718599915504456
Stanford (NCM),10,0.8062678389251232,0.9105660021305084,0.9653712511062622
Stanford (NCM),Mean,0.8360011829063296,0.9196067648008465,0.9638938248157501
Stanford (NCM),Std,0.1381099725623805,0.13721500107704618,0.010683238976790937
